rider_id,classics_pts
1,2306
2,1430
74,1235
57,1062
9,1033
171,920
25,910
10,845
42,752
93,685
52,599
118,598
136,547
134,529
65,511
138,510
84,455
18,427
6,427
5,410
165,408
97,398
50,390
143,381
124,380
36,377
147,376
139,369
83,369
173,363
137,355
61,354
53,347
146,346
4,342
172,336
116,326
89,318
131,318
107,311
56,279
59,277
161,257
19,252
128,245
121,244
73,238
103,238
111,234
33,230
167,217
114,212
140,210
11,210
153,207
28,198
26,195
49,195
108,190
130,190
135,177
79,171
7,171
67,161
40,157
157,155
117,151
145,150
30,150
90,145
91,137
27,130
51,124
35,123
141,117
3,116
17,115
158,115
95,111
48,105
20,98
70,95
14,95
8,93
44,93
43,92
133,87
125,87
62,85
126,83
151,83
127,80
55,79
69,78
149,78
32,76
80,75
150,75
148,74
122,73
29,70
34,70
45,70
72,69
99,67
120,65
38,64
115,63
41,61
47,59
68,58
58,56
60,56
113,55
104,55
109,54
101,54
144,53
156,52
123,50
24,49
81,47
78,47
86,47
15,47
46,46
92,44
142,44
164,41
87,41
