rider_id,market,decimal_odds
1,gc_win,1.24
112,gc_win,4.00
25,gc_win,11.50
2,gc_win,17.00
74,gc_win,21.00
76,gc_win,26.00
49,gc_win,31.00
54,gc_win,61.00
114,gc_win,71.00
82,gc_win,151.00
171,gc_win,151.00
17,gc_win,251.00
18,gc_win,226.00
52,gc_win,226.00
35,gc_win,226.00
167,gc_win,226.00
5,gc_win,251.00
33,gc_win,251.00
92,gc_win,251.00
4,gc_win,251.00
162,gc_win,251.00
21,gc_win,251.00
168,gc_win,251.00
41,gc_win,251.00
123,gc_win,251.00
85,gc_win,251.00
80,gc_win,251.00
164,gc_win,251.00
58,gc_win,251.00
86,gc_win,251.00
90,gc_win,251.00
50,gc_win,251.00
10,gc_win,251.00
108,gc_win,251.00
79,gc_win,251.00
139,gc_win,251.00
30,gc_win,251.00
53,gc_win,251.00
42,gc_win,251.00
109,gc_win,251.00
122,gc_win,251.00
166,gc_win,251.00
119,gc_win,251.00
81,gc_win,251.00
137,gc_win,251.00
11,gc_win,251.00
120,gc_win,251.00
51,gc_win,251.00
111,gc_win,251.00
107,gc_win,251.00
38,gc_win,251.00
36,gc_win,251.00
170,gc_win,251.00
155,gc_win,251.00
169,gc_win,251.00
10,gc_win,1001.00
9,stage_win,2.50
65,stage_win,3.00
83,stage_win,4.00
57,stage_win,5.00
1,stage_win,5.00
10,stage_win,5.50
50,stage_win,6.00
26,stage_win,6.50
89,stage_win,8.00
137,stage_win,9.00
74,stage_win,10.00
112,stage_win,12.00
71,stage_win,12.00
91,stage_win,14.00
1,kom_win,2.0
35,kom_win,4.75
18,kom_win,6.5
112,kom_win,8.0
52,kom_win,21.0
81,kom_win,21.0
25,kom_win,34.0
171,kom_win,34.0
49,kom_win,34.0
33,kom_win,41.0
166,kom_win,41.0
74,kom_win,41.0
168,kom_win,51.0
92,kom_win,67.0
76,kom_win,67.0
2,kom_win,67.0
139,kom_win,67.0
54,kom_win,67.0
114,kom_win,101.0
58,kom_win,101.0
162,kom_win,101.0
21,kom_win,101.0
38,kom_win,101.0
123,kom_win,151.0
145,kom_win,201.0
69,kom_win,201.0
27,kom_win,201.0
44,kom_win,201.0
167,kom_win,201.0
169,kom_win,201.0
41,kom_win,201.0
42,kom_win,201.0
137,kom_win,201.0
55,kom_win,201.0
109,kom_win,201.0
17,kom_win,201.0
90,kom_win,201.0
5,kom_win,201.0
111,kom_win,201.0
108,kom_win,201.0
53,kom_win,301.0
128,kom_win,301.0
9,points_win,2.85
83,points_win,3.5
26,points_win,4.25
50,points_win,6.5
65,points_win,9.0
1,points_win,10.0
165,points_win,41.0
147,points_win,41.0
57,points_win,51.0
10,points_win,51.0
124,points_win,67.0
131,points_win,67.0
2,points_win,101.0
25,points_win,101.0
112,points_win,101.0
97,points_win,101.0
116,points_win,101.0
141,points_win,101.0
74,points_win,101.0
171,points_win,101.0
89,points_win,201.0
138,points_win,201.0
91,points_win,201.0
157,points_win,201.0
20,points_win,201.0
118,points_win,301.0
79,points_win,301.0
113,points_win,301.0
49,points_win,301.0
158,points_win,301.0
33,points_win,301.0
53,points_win,301.0
161,points_win,301.0
35,points_win,501.0
42,points_win,501.0
134,points_win,501.0
66,points_win,501.0
58,points_win,501.0
25,young_rider_win,2.25
2,young_rider_win,2.75
49,young_rider_win,4.0
27,young_rider_win,17.0
17,young_rider_win,19.0
167,young_rider_win,19.0
18,young_rider_win,26.0
162,young_rider_win,26.0
164,young_rider_win,51.0
111,young_rider_win,67.0
58,young_rider_win,101.0
81,young_rider_win,101.0
36,young_rider_win,101.0
51,young_rider_win,301.0
169,young_rider_win,301.0
11,young_rider_win,301.0
48,young_rider_win,301.0
9,points_win,2.85
83,points_win,3.5
26,points_win,4.25
50,points_win,6.5
65,points_win,9
1,points_win,10
165,points_win,41
147,points_win,41
57,points_win,51
10,points_win,51
124,points_win,67
131,points_win,67
2,points_win,101
25,points_win,101
112,points_win,101
97,points_win,101
116,points_win,101
141,points_win,101
74,points_win,101
171,points_win,101
89,points_win,201
138,points_win,201
91,points_win,201
157,points_win,201
20,points_win,201
118,points_win,301
79,points_win,301
113,points_win,301
49,points_win,301
158,points_win,301
33,points_win,301
53,points_win,301
161,points_win,301
35,points_win,501
42,points_win,501
134,points_win,501
66,points_win,501
58,points_win,501
