rider_id,name,team,nationality,birth_year,uci_ranking,young_rider_eligible,team_leader
1,Tadej Pogacar,UAE Team Emirates,SVN,1998,1,false,true
2,Isaac Del Toro,UAE Team Emirates,MEX,2003,45,true,true
3,Tim Wellens,UAE Team Emirates,BEL,1991,120,false,false
4,Brandon McNulty,UAE Team Emirates,USA,1998,35,false,false
5,Adam Yates,UAE Team Emirates,GBR,1992,22,false,false
6,Florian Vermeersch,UAE Team Emirates,BEL,1992,180,false,false
7,Nils Politt,UAE Team Emirates,GER,1994,95,false,false
8,Felix Grossschartner,UAE Team Emirates,AUT,1993,110,false,false
9,Jasper Philipsen,Alpecin-Premier Tech,BEL,1998,5,false,true
10,Mathieu Van der Poel,Alpecin-Premier Tech,NED,1995,4,false,true
11,Emiel Verstrynge,Alpecin-Premier Tech,BEL,2002,200,true,false
12,Jonas Rickaert,Alpecin-Premier Tech,BEL,1994,250,false,false
13,Tim Marsman,Alpecin-Premier Tech,NED,1998,280,false,false
14,Ramses Debruyne,Alpecin-Premier Tech,BEL,2004,350,true,false
15,Edward Planckaert,Alpecin-Premier Tech,BEL,1990,300,false,false
16,Silvan Dillier,Alpecin-Premier Tech,SUI,1990,320,false,false
17,Antonio Tiberi,Bahrain Victorious,ITA,2001,28,true,true
18,Lenny Martinez,Bahrain Victorious,FRA,2002,55,true,false
19,Matej Mohoric,Bahrain Victorious,SVN,1994,62,false,false
20,Phil Bauhaus,Bahrain Victorious,GER,1994,85,false,false
21,Damiano Caruso,Bahrain Victorious,ITA,1987,150,false,false
22,Kamil Gradek,Bahrain Victorious,POL,1990,320,false,false
23,Robert Stannard,Bahrain Victorious,AUS,1998,380,false,false
24,Vlad Van Mechelen,Bahrain Victorious,BEL,2002,400,true,false
25,Paul Seixas,Decathlon CMA CGM,POR,2004,155,true,true
26,Olav Kooij,Decathlon CMA CGM,NED,2001,15,true,true
27,Matthew Riccitello,Decathlon CMA CGM,ITA,2002,290,true,false
28,Tiesj Benoot,Decathlon CMA CGM,BEL,1994,70,false,false
29,Daan Hoole,Decathlon CMA CGM,NED,1999,160,false,false
30,Nicolas Prodhomme,Decathlon CMA CGM,FRA,1996,210,false,false
31,Aurelien Paret-Peintre,Decathlon CMA CGM,FRA,1999,130,false,false
32,Cees Bol,Decathlon CMA CGM,NED,1995,175,false,false
33,Ben Healy,EF Education-EasyPost,IRL,2000,38,false,false
34,Kasper Asgreen,EF Education-EasyPost,DEN,1997,65,false,false
35,Richard Carapaz,EF Education-EasyPost,ECU,1993,30,false,true
36,Alex Baudin,EF Education-EasyPost,FRA,1999,260,false,false
37,Sean Quinn,EF Education-EasyPost,USA,1999,195,false,false
38,Georg Steinhauser,EF Education-EasyPost,GER,2001,145,true,false
39,Max Walker,EF Education-EasyPost,GBR,2000,310,false,false
40,Michael Valgren,EF Education-EasyPost,DEN,1992,230,false,false
41,Guillaume Martin,Groupama-FDJ,FRA,1993,42,false,true
42,Romain Gregoire,Groupama-FDJ,FRA,2002,80,true,false
43,Clement Berthet,Groupama-FDJ,FRA,2000,360,false,false
44,Clement Braz Afonso,Groupama-FDJ,POR,2004,290,true,false
45,Lorenzo Germani,Groupama-FDJ,ITA,2000,220,false,false
46,Quentin Pacher,Groupama-FDJ,FRA,1992,285,false,false
47,Clement Russo,Groupama-FDJ,FRA,2001,340,true,false
48,Ewen Costiou,Groupama-FDJ,FRA,1997,330,false,false
49,Juan Ayuso,Lidl-Trek,ESP,2002,6,true,true
50,Mads Pedersen,Lidl-Trek,DEN,1995,10,false,true
51,Mathias Vacek,Lidl-Trek,CZE,2003,115,true,false
52,Mattias Skjelmose,Lidl-Trek,DEN,2001,24,true,false
53,Quinn Simmons,Lidl-Trek,USA,2000,140,false,false
54,Derek Gee-West,Lidl-Trek,CAN,1996,60,false,false
55,Carlos Verona,Lidl-Trek,ESP,1992,165,false,false
56,Toms Skujins,Lidl-Trek,LAT,1991,190,false,false
57,Arnaud De Lie,Lotto Intermarche,BEL,2002,18,true,true
58,Lennert Van Eetvelt,Lotto Intermarche,BEL,2002,40,true,true
59,Georg Zimmermann,Lotto Intermarche,GER,1997,90,false,false
60,Huub Artz,Lotto Intermarche,NED,2001,270,true,false
61,Jenno Berckmoes,Lotto Intermarche,BEL,2002,305,true,false
62,Liam Slock,Lotto Intermarche,BEL,2002,395,true,false
63,Lars Craps,Lotto Intermarche,BEL,2002,415,true,false
64,Baptiste Veistroffer,Lotto Intermarche,FRA,1998,430,false,false
65,Biniam Girmay,NSN Cycling Team,ERI,2000,8,false,true
66,Jake Stewart,NSN Cycling Team,GBR,1999,98,false,false
67,Lewis Askey,NSN Cycling Team,GBR,2003,420,true,false
68,Krists Neilands,NSN Cycling Team,LAT,1990,245,false,false
69,Marco Frigo,NSN Cycling Team,ITA,2001,355,true,false
70,Matis Louvel,NSN Cycling Team,FRA,2001,440,true,false
71,George Bennett,NSN Cycling Team,NZL,1990,50,false,false
72,Tom Van Asbroeck,NSN Cycling Team,BEL,1990,265,false,false
73,Tim Van Dijke,Red Bull-Bora-Hansgrohe,NED,2000,170,false,false
74,Remco Evenepoel,Red Bull-Bora-Hansgrohe,BEL,2000,3,false,true
75,Nico Denz,Red Bull-Bora-Hansgrohe,GER,1994,135,false,false
76,Florian Lipowitz,Red Bull-Bora-Hansgrohe,GER,2001,20,true,true
77,Mattia Cattaneo,Red Bull-Bora-Hansgrohe,ITA,1990,205,false,false
78,Jan Tratnik,Red Bull-Bora-Hansgrohe,SVN,1990,215,false,false
79,Maxim Van Gils,Red Bull-Bora-Hansgrohe,BEL,2000,32,false,false
80,Jai Hindley,Red Bull-Bora-Hansgrohe,AUS,1996,26,false,false
81,Valentin Paret-Peintre,Soudal Quick-Step,FRA,1993,75,false,false
82,Mikel Landa,Soudal Quick-Step,ESP,1989,36,false,true
83,Tim Merlier,Soudal Quick-Step,BEL,1992,14,false,true
84,Jasper Stuyven,Soudal Quick-Step,BEL,1992,68,false,false
85,Ilan Van Wilder,Soudal Quick-Step,BEL,2000,58,false,false
86,Louis Vervaeke,Soudal Quick-Step,BEL,1995,240,false,false
87,Dylan Van Baarle,Soudal Quick-Step,NED,1992,85,false,false
88,Bert Van Lerberghe,Soudal Quick-Step,BEL,1992,255,false,false
89,Michael Matthews,Team Jayco AlUla,AUS,1990,16,false,true
90,Luke Plapp,Team Jayco AlUla,AUS,2000,48,false,false
91,Pascal Ackermann,Team Jayco AlUla,GER,1994,52,false,false
92,Ben O'Connor,Team Jayco AlUla,AUS,1995,27,false,true
93,Mauro Schmid,Team Jayco AlUla,SUI,1999,100,false,false
94,Kelland O'Brien,Team Jayco AlUla,IRL,2000,345,false,false
95,Felix Engelhardt,Team Jayco AlUla,GER,2001,375,true,false
96,Luke Durbridge,Team Jayco AlUla,AUS,1991,225,false,false
97,Pavel Bittner,Team Picnic PostNL,CZE,2002,460,true,false
98,Warren Barguil,Team Picnic PostNL,FRA,1992,105,false,false
99,Frank Van Den Broek,Team Picnic PostNL,NED,2001,450,true,false
100,Robbe Dhondt,Team Picnic PostNL,BEL,2002,335,true,false
101,Julius Van Den Berg,Team Picnic PostNL,NED,1999,185,false,false
102,Niklas Markl,Team Picnic PostNL,GER,2001,410,true,false
103,Frits Biesterbos,Team Picnic PostNL,NED,2001,470,true,false
104,John Degenkolb,Team Picnic PostNL,GER,1989,125,false,false
105,Victor Campenaerts,Team Visma-Lease a Bike,BEL,1991,44,false,false
106,Edoardo Affini,Team Visma-Lease a Bike,ITA,1996,72,false,false
107,Per Strand Hagenes,Team Visma-Lease a Bike,NOR,2003,88,true,false
108,Matteo Jorgenson,Team Visma-Lease a Bike,USA,1999,12,false,true
109,Sepp Kuss,Team Visma-Lease a Bike,USA,1994,33,false,false
110,Bruno Armirail,Team Visma-Lease a Bike,FRA,1994,155,false,false
111,Davide Piganzoli,Team Visma-Lease a Bike,ITA,2002,230,true,false
112,Jonas Vingegaard,Team Visma-Lease a Bike,DEN,1996,2,false,true
113,Magnus Cort,Uno-X Mobility,DEN,1993,60,false,false
114,Tobias Halland Johannessen,Uno-X Mobility,NOR,1999,78,false,true
115,Anders Skaarseth,Uno-X Mobility,NOR,2002,325,true,false
